edge_idx,scenario,zone,age_group,children
2349,baseline,nearest,0_4,2.67
14036,baseline,nearest,0_4,2.5
2345,baseline,nearest,0_4,2.17
5943,baseline,nearest,0_4,0.75
6420,baseline,nearest,0_4,0.66
6423,baseline,nearest,0_4,0.53
6425,baseline,nearest,0_4,0.48
13580,baseline,nearest,0_4,0.3
12254,baseline,nearest,0_4,0.12
12606,baseline,nearest,0_4,0.23
2346,baseline,nearest,0_4,0.97
14350,baseline,nearest,0_4,0.67
14383,baseline,nearest,0_4,0.51
13928,baseline,nearest,0_4,1.15
3696,baseline,nearest,0_4,0.94
11191,baseline,nearest,0_4,0.2
4211,baseline,nearest,0_4,3.12
12906,baseline,nearest,0_4,3.12
6028,baseline,nearest,0_4,2.29
1548,baseline,nearest,0_4,1.81
1549,baseline,nearest,0_4,1.25
12322,baseline,nearest,0_4,0.36
6773,baseline,nearest,0_4,0.22
2669,baseline,nearest,0_4,1.02
14035,baseline,nearest,0_4,0.17
8715,baseline,nearest,0_4,0.17
8720,baseline,nearest,0_4,0.69
3697,baseline,nearest,0_4,0.54
13903,baseline,nearest,0_4,0.04
13902,baseline,nearest,0_4,0.04
6760,baseline,nearest,0_4,0.64
3369,baseline,nearest,0_4,0.24
3370,baseline,nearest,0_4,0.24
6895,baseline,nearest,0_4,0.05
6734,baseline,nearest,0_4,0.17
5085,baseline,nearest,0_4,0.82
12256,baseline,nearest,0_4,0.55
2354,baseline,nearest,0_4,0.16
13788,baseline,nearest,0_4,0.52
12325,baseline,nearest,0_4,0.11
3044,baseline,nearest,0_4,2.99
3045,baseline,nearest,0_4,1.05
3609,baseline,nearest,0_4,0.27
5088,baseline,nearest,0_4,4.7
12756,baseline,nearest,0_4,3.95
13419,baseline,nearest,0_4,3.53
14014,baseline,nearest,0_4,0.14
14013,baseline,nearest,0_4,0.14
11877,baseline,nearest,0_4,0.14
2353,baseline,nearest,0_4,12.87
3682,baseline,nearest,0_4,7.88
3680,baseline,nearest,0_4,6.36
3275,baseline,nearest,0_4,3.83
3274,baseline,nearest,0_4,2.26
12081,baseline,nearest,0_4,0.9
12672,baseline,nearest,0_4,0.45
14131,baseline,nearest,0_4,0.17
12006,baseline,nearest,0_4,0.01
9821,baseline,nearest,0_4,0.23
3041,baseline,nearest,0_4,1.84
3043,baseline,nearest,0_4,0.76
4122,baseline,nearest,0_4,3.85
14016,baseline,nearest,0_4,3.39
12234,baseline,nearest,0_4,3.26
11996,baseline,nearest,0_4,2.57
12904,baseline,nearest,0_4,0.74
12307,baseline,nearest,0_4,0.61
12306,baseline,nearest,0_4,0.22
14380,baseline,nearest,0_4,0.43
12951,baseline,nearest,0_4,3.25
3574,baseline,nearest,0_4,3.19
3094,baseline,nearest,0_4,0.76
3684,baseline,nearest,0_4,4.84
4553,baseline,nearest,0_4,0.13
